id,timestamp,likes,retweets
1455622843258097670,2021-11-02T19:48:24.000Z,2889,716
1455439132780548096,2021-11-02T07:38:24.000Z,3241,792
1455257938587697154,2021-11-01T19:38:24.000Z,1825,488
1455076743996485632,2021-11-01T07:38:24.000Z,3188,733
1454893034437582857,2021-10-31T19:28:24.000Z,1655,424
1454711839699488770,2021-10-31T07:28:24.000Z,1413,378
1454528131130404865,2021-10-30T19:18:24.000Z,1539,399
1454346936815964163,2021-10-30T07:18:24.000Z,2796,616
1454165742707003392,2021-10-29T19:18:24.000Z,1490,388
1453982034884534276,2021-10-29T07:08:25.000Z,1414,374
1453795810303430657,2021-10-28T18:48:26.000Z,1435,348
1453612094515990529,2021-10-28T06:38:24.000Z,1575,442
1453430900289589253,2021-10-27T18:38:24.000Z,1551,409
1453249706331623426,2021-10-27T06:38:24.000Z,1481,416
1453065996156252160,2021-10-26T18:28:24.000Z,1470,372
1452884801904693251,2021-10-26T06:28:24.000Z,1468,407
1452701092400205827,2021-10-25T18:18:24.000Z,1562,424
1452519896747806729,2021-10-25T06:18:24.000Z,2610,577
1452336186580738051,2021-10-24T18:08:24.000Z,1523,375
1452152476459839488,2021-10-24T05:58:24.000Z,2431,542
1451971281033826304,2021-10-23T17:58:24.000Z,1547,428
1451790086551523330,2021-10-23T05:58:24.000Z,3009,600
1451606382063591432,2021-10-22T17:48:25.000Z,1276,325
1451422667547029518,2021-10-22T05:38:24.000Z,1191,296
1451238957241585667,2021-10-21T17:28:24.000Z,1142,272
1451057762885058562,2021-10-21T05:28:24.000Z,1230,331
1450874053300998148,2021-10-20T17:18:24.000Z,1223,315
1450690341384843264,2021-10-20T05:08:24.000Z,1092,286
1450509146697121797,2021-10-19T17:08:24.000Z,1117,301
1450325437549318146,2021-10-19T04:58:24.000Z,1217,331
1450141731018657793,2021-10-18T16:48:25.000Z,1183,297
1449958110173581317,2021-10-18T04:38:47.000Z,1286,365
1449776821659181060,2021-10-17T16:38:24.000Z,1171,306
1449593815610929154,2021-10-17T04:31:12.000Z,1258,310
1449409402759438344,2021-10-16T16:18:24.000Z,1123,274
